Reactions	Rules
2-METHYLCITRATE-DEHYDRATASE-RXN	rule0019
2-METHYLCITRATE-DEHYDRATASE-RXN_reverse	rule0020
2-METHYLENEGLUTARATE-MUTASE-RXN	rule0028
2-METHYLENEGLUTARATE-MUTASE-RXN_reverse	rule0028
2-OCTAPRENYL-6-METHOXYPHENOL-HYDROX-RXN	rule0005
2-OCTAPRENYL-6-METHOXYPHENOL-HYDROX-RXN_reverse	rule0004
2-OCTAPRENYL-6-OHPHENOL-METHY-RXN	rule0010
2-OCTAPRENYL-6-OHPHENOL-METHY-RXN_reverse	rule0011
2-OCTAPRENYL-METHOXY-BENZOQ-METH-RXN	rule0046
2-OCTAPRENYL-METHOXY-BENZOQ-METH-RXN_reverse	rule0043
2-OCTAPRENYLPHENOL-HYDROX-RXN	rule0005
2-OCTAPRENYLPHENOL-HYDROX-RXN_reverse	rule0004
2-OXOADIPATE-REDUCTASE-RXN	rule0002
2-OXOADIPATE-REDUCTASE-RXN_reverse	rule0003
2-OXOALDEHYDE-DEHYDROGENASE-NAD+-RXN	rule0026
2-OXOALDEHYDE-DEHYDROGENASE-NAD+-RXN_reverse	rule0025
2-OXOALDEHYDE-DEHYDROGENASE-NADP+-RXN	rule0026
2-OXOALDEHYDE-DEHYDROGENASE-NADP+-RXN_reverse	rule0025
2-OXOPENT-4-ENOATE-HYDRATASE-RXN	rule0020
2-OXOPENT-4-ENOATE-HYDRATASE-RXN_reverse	rule0019
2-PHOSPHOASCORBATE-DEPHOSPHORYLATION-RXN	rule0017
2-PHOSPHOASCORBATE-DEPHOSPHORYLATION-RXN_reverse	rule0016
2.1.1.100-RXN	rule0010
2.1.1.100-RXN_reverse	rule0011
2.1.1.103-RXN	rule0033
2.1.1.103-RXN_reverse	rule0034
2.1.1.105-RXN	rule0010
2.1.1.105-RXN_reverse	rule0011
2.1.1.109-RXN	rule0010
2.1.1.109-RXN_reverse	rule0011
2.1.1.110-RXN	rule0010
2.1.1.110-RXN_reverse	rule0011
2.1.1.113-RXN	rule0033
2.1.1.113-RXN_reverse	rule0034
